分类(必填),问题(必填),相似问题(选填-多个用##分隔),反例问题(选填-多个用##分隔),机器人回答(必填-多个用##分隔),是否全部回复(选填-默认FALSE),是否停用(选填-默认FALSE)
autolisp,findtrustedfile,,,(findtrustedfile file)LINE_BREAK在AutoCAD信任文件路径中搜索指定的文件,false,false
autolisp,command-s,,,"(command-s [参数...])LINE_BREAK*error*错误函数等内部不支持command时, 用此函数代替command，但旧版CAD不支持",false,false
autolisp,bherrs,,,"(bherrs)LINE_BREAK数据库中没有收录这个函数!请帮助录入,谢谢",false,false
autolisp,xdrx_entsel,,,()LINE_BREAK请勿加入自定义函数,false,false
autolisp,xdrx_pickset_HighLight,,,()LINE_BREAK请勿加入自定义函数,false,false
autolisp,xdrx_pickset_reeraw,,,()LINE_BREAK请勿加入自定义函数,false,false
autolisp,XLRX-SsUnion,,,()LINE_BREAK请勿加入自定义函数,false,false
autolisp,XLRX-SsSub,,,()LINE_BREAK请勿加入自定义函数,false,false
autolisp,XLRX-SsFree,,,()LINE_BREAK请勿加入自定义函数,false,false
autolisp,XLRX-SelectInsertByAtts,,,()LINE_BREAK请勿加入自定义函数,false,false
autolisp,XLRX-PickSet-GetBox,,,()LINE_BREAK请勿加入自定义函数,false,false
autolisp,XLRX-PickSet->List,,,()LINE_BREAK请勿加入自定义函数,false,false
autolisp,XLRX-List->PickSet,,,()LINE_BREAK请勿加入自定义函数,false,false
autolisp,XLRX-entsel,,,()LINE_BREAK谁瞎填的自定义函数,false,false
